Authors,Title,Abstract,Document Type,Year,Link,Source title,Include/Exclude,Author 1 Re-tag,Author 2,Author 2 Re-tag
Fan H.; Wang R.; Huang X.; Zhang F.; Li Z.; Su S.,Deep joint adversarial learning for anomaly detection on attribute networks,"Attribute network anomaly detection has attracted growing interest in recent years, which aims to separate the points whose behavior is clearly different from others. The complex interactions between the network structure and node attributes result in difficulty in detecting anomalous nodes on attribute networks. To alleviate the above mentioned issue, in this paper, we design a deep joint adversarial learning representation framework (JAANE) for attribute network anomaly detection, by capturing the consistency and complementarity between network structure and node attributes. Specifically, JAANE utilizes a weight-sharing encoder to learn the attribute embedding and structure embedding in a shared latent space. Then, the feature fusion module fuses the learned attribute embedding and structure embedding into the fused node embedding to capture the consistency and complementarity between them. Finally, the fused node embedding is regularized via adversarial learning, and the anomaly nodes outside the regularized hypersphere space can be effectively detected. The experiment results on the real-world datasets indicate that the proposed JAANE performs better than other state-of-the-art, which demonstrates the effectiveness of the proposed method. The source code and data are released in https://haoyfan.github.io/. © 2023 Elsevier Inc.",Article,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176264000&doi=10.1016%2fj.ins.2023.119840&partnerID=40&md5=0aadcd6600b427298408eea3d9132ccc,Information Sciences,Exclude,,Exclude,
Li C.; Fu J.; Yan Y.; Zhao Z.; Zeng Q.,Higher order heterogeneous graph neural network based on node attribute enhancement,"Heterogeneous graph neural networks (HGNNs) have garnered significant attention owing to their ability to capture attribute information from heterogeneous graphs (HGs). However, practical scenarios involving HGs often suffer from missing node attributes. Furthermore, most existing HGNNs have limitations in exploiting node attributes. Specifically, they cannot entirely capture the attributes of higher order neighbors or only use the higher order homogeneous neighbors, thus disregarding the attributes of heterogeneous neighbors. To address these problems, we propose a higher order heterogeneous graph neural network based on heterogeneous node attribute enhancement (HOAE). We first design an attribute-completion strategy using an advanced transformer based self-attention mechanism to fill in the missing attributes. After that, we propose a simple and efficient attribute enhancement strategy based on heterogeneous attributes, empowering HOAE to fully learn the attributes of heterogeneous neighbors. Additionally, meta-path is incorporated to construct a higher order neighbor-based network, enabling effective learning of higher order attributes. Experimental results on three real world datasets demonstrate that HOAE significantly outperforms state-of-the-art methods. The source code of this work is available at https://github.com/FredJDean/HOAE. © 2023 Elsevier Ltd",Article,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175571913&doi=10.1016%2fj.eswa.2023.122404&partnerID=40&md5=07be645deb6435f4234460c7c1cb672b,Expert Systems with Applications,Exclude,,,
Ye J.; Wei Y.; Wen X.-C.; Ma C.; Huang Z.; Liu K.; Shan H.,Emo-DNA: Emotion Decoupling and Alignment Learning for Cross-Corpus Speech Emotion Recognition,"Cross-corpus speech emotion recognition (SER) seeks to generalize the ability of inferring speech emotion from a well-labeled corpus to an unlabeled one, which is a rather challenging task due to the significant discrepancy between two corpora. Existing methods, typically based on unsupervised domain adaptation (UDA), struggle to learn corpus-invariant features by global distribution alignment, but unfortunately, the resulting features are mixed with corpus-specific features or not class-discriminative. To tackle these challenges, we propose a novel Emotion Decoupling aNd Alignment learning framework (EMO-DNA) for cross-corpus SER, a novel UDA method to learn emotion-relevant corpus-invariant features. The novelties of EMO-DNA are two-fold: contrastive emotion decoupling and dual-level emotion alignment. On one hand, our contrastive emotion decoupling achieves decoupling learning via a contrastive decoupling loss to strengthen the separability of emotion-relevant features from corpus-specific ones. On the other hand, our dual-level emotion alignment introduces an adaptive threshold pseudo-labeling to select confident target samples for class-level alignment, and performs corpus-level alignment to jointly guide model for learning class-discriminative corpus-invariant features across corpora. Extensive experimental results demonstrate the superior performance of EMO-DNA over the state-of-the-art methods in several cross-corpus scenarios. Source code is available at https://github.com/Jiaxin-Ye/Emo-DNA. © 2023 ACM.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179546767&doi=10.1145%2f3581783.3611704&partnerID=40&md5=bd0e286c31c9d133f18e3a81847432c1,MM 2023 - Proceedings of the 31st ACM International Conference on Multimedia,Exclude,,Exclude,
Ou W.; Ding S.H.H.; Tian Y.; Song L.,SCS-Gan: Learning Functionality-Agnostic Stylometric Representations for Source Code Authorship Verification,"In recent years, the number of anonymous script-based fileless malware attacks and software copyright disputes has increased rapidly. In the literature, automated Code Authorship Analysis (CAA) techniques have been proposed to reduce the manual effort in identifying those attacks and issues. Most CAA techniques aim to solve the task of Authorship Attribution (AA), i.e., identifying the actual author of a source code fragment from a given set of candidate authors. However, in many real-world scenarios, investigators do not have a predefined set of authors containing the actual author at the time of investigation, i.e., contradicting AA's assumption. Additionally, existing AA techniques ignore the influence of code functionality when identifying the authorship, which leads to biased matching simply based on code functionality. Different from AA, the task of (extreme) Authorship Verification (AV) is to decide if two texts were written by the same person or not. AV techniques do not need a predefined author set and thus could be applied in more code authorship-related applications than AA. To our knowledge, there is no previous work attempting to solve the AV problem for the source code. To fill the gap, we propose a novel adversarial neural network, namely SCS-Gan, that can learn a stylometric representation of code for automated AV. With the multi-head attention mechanism, SCS-Gan focuses on the code parts that are most informative regarding personal styles and generates functionality-agnostic stylometric representations through adversarial training. We benchmark SCS-Gan and two state-of-the-art code representation models on four out-of-sample datasets collected from a real-world programming competition. Our experiment results show that SCS-Gan outperforms the baselines on all four out-of-sample datasets.  © IEEE 1976-2012.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130812596&doi=10.1109%2fTSE.2022.3177228&partnerID=40&md5=2bd3b051420a8f0607a0bcb3b9489a81,IEEE Transactions on Software Engineering,Include,,,
do Rosario V.M.; da Silva A.F.; Zanella A.F.; Napoli O.O.; Borin E.,Fast selection of compiler optimizations using performance prediction with graph neural networks,"Tuning application performance on modern computing infrastructures involves choices in a vast design space as modern computing architectures can have several complex structures impacting performance. Moreover, different applications use these structures in different ways, leading to a challenging performance function. Consequently, it is hard for compilers or experts to find optimal compilation parameters for an application that maximizes such performance function. One approach to tackle this problem is to evaluate many possible optimization plans and select the best among them. However, executing an application to measure its performance for every plan can be very expensive. To tackle this problem, previous work has investigated the use of Machine Learning techniques to predict the performance of the applications without executing them quickly. In this work, we evaluate the use of graph neural networks (GNN) to make fast predictions without executing the application to guide the selection of good optimization sequences. We propose a GNN architecture to make such predictions. We train and test it using 30 thousand different compilation plans applied to 300 different applications, using ARM64 and LLVM IR code representations as input. Our results indicate that the control and data flow graph can then learn features from the control and data flow graph to outperform nongraph-aware Machine Learning models. Our GNN architecture achieved 91% accuracy in our dataset compared to 79% when using a nongraph-aware architecture–taking only 16ms to predict a given input. If the application been optimized took an average of 10 s to execute, and we evaluated 1000 optimization sequences, it would take almost 9 h to assess all pairs, but only 16 s with our GNN. © 2022 John Wiley & Sons Ltd.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126280581&doi=10.1002%2fcpe.6869&partnerID=40&md5=f8fab966abd61e95953dbe4237b61fb7,Concurrency and Computation: Practice and Experience,Include,,,
Mi Q.; Zhan Y.; Weng H.; Bao Q.; Cui L.; Ma W.,A graph-based code representation method to improve code readability classification,"Context: Code readability is crucial for developers since it is closely related to code maintenance and affects developers’ work efficiency. Code readability classification refers to the source code being classified as pre-defined certain levels according to its readability. So far, many code readability classification models have been proposed in existing studies, including deep learning networks that have achieved relatively high accuracy and good performance. Objective: However, in terms of representation, these methods lack effective preservation of the syntactic and semantic structure of the source code. To extract these features, we propose a graph-based code representation method. Method: Firstly, the source code is parsed into a graph containing its abstract syntax tree (AST) combined with control and data flow edges to reserve the semantic structural information and then we convert the graph nodes’ source code and type information into vectors. Finally, we train our graph neural networks model composing Graph Convolutional Network (GCN), DMoNPooling, and K-dimensional Graph Neural Networks (k-GNNs) layers to extract these features from the program graph. Result: We evaluate our approach to the task of code readability classification using a Java dataset provided by Scalabrino et al. (2016). The results show that our method achieves 72.5% and 88% in three-class and two-class classification accuracy, respectively. Conclusion: We are the first to introduce graph-based representation into code readability classification. Our method outperforms state-of-the-art readability models, which suggests that the graph-based code representation method is effective in extracting syntactic and semantic information from source code, and ultimately improves code readability classification. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160003449&doi=10.1007%2fs10664-023-10319-6&partnerID=40&md5=123f5324dfc79038a0d3244e8c791cab,Empirical Software Engineering,Include,,Include,
Dong Y.; Wang S.; Ma J.; Liu N.; Li J.,Interpreting Unfairness in Graph Neural Networks via Training Node Attribution,"Graph Neural Networks (GNNs) have emerged as the leading paradigm for solving graph analytical problems in various real-world applications. Nevertheless, GNNs could potentially render biased predictions towards certain demographic subgroups. Understanding how the bias in predictions arises is critical, as it guides the design of GNN debiasing mechanisms. However, most existing works overwhelmingly focus on GNN debiasing, but fall short on explaining how such bias is induced. In this paper, we study a novel problem of interpreting GNN unfairness through attributing it to the influence of training nodes. Specifically, we propose a novel strategy named Probabilistic Distribution Disparity (PDD) to measure the bias exhibited in GNNs, and develop an algorithm to efficiently estimate the influence of each training node on such bias. We verify the validity of PDD and the effectiveness of influence estimation through experiments on real-world datasets. Finally, we also demonstrate how the proposed framework could be used for debiasing GNNs. Open-source code can be found at https://github.com/yushundong/BIND. Copyright © 2023, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146321881&partnerID=40&md5=193adf8a1498f438c4a32e44e5b25269,"Proceedings of the 37th AAAI Conference on Artificial Intelligence, AAAI 2023",Exclude,,,
Yoon K.; Kim K.; Moon J.; Park C.,Unbiased Heterogeneous Scene Graph Generation with Relation-Aware Message Passing Neural Network,"Recent scene graph generation (SGG) frameworks have focused on learning complex relationships among multiple objects in an image. Thanks to the nature of the message passing neural network (MPNN) that models high-order interactions between objects and their neighboring objects, they are dominant representation learning modules for SGG. However, existing MPNN-based frameworks assume the scene graph as a homogeneous graph, which restricts the contextawareness of visual relations between objects. That is, they overlook the fact that the relations tend to be highly dependent on the objects with which the relations are associated. In this paper, we propose an unbiased heterogeneous scene graph generation (HetSGG) framework that captures relation-aware context using message passing neural networks. We devise a novel message passing layer, called relation-aware message passing neural network (RMP), that aggregates the contextual information of an image considering the predicate type between objects. Our extensive evaluations demonstrate that HetSGG outperforms state-of-the-art methods, especially outperforming on tail predicate classes. The source code for HetSGG is available at https://github. com/KanghoonYoon/hetsgg-torch.  Copyright © 2023, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167971037&partnerID=40&md5=e5a5a02b80a47cf310f6758f9eebc3a9,"Proceedings of the 37th AAAI Conference on Artificial Intelligence, AAAI 2023",Exclude,,,
Liu L.; Yang Z.; Li G.; Wang K.; Chen T.; Lin L.,Aerial Images Meet Crowdsourced Trajectories: A New Approach to Robust Road Extraction,"Land remote-sensing analysis is a crucial research in earth science. In this work, we focus on a challenging task of land analysis, i.e., automatic extraction of traffic roads from remote-sensing data, which has widespread applications in urban development and expansion estimation. Nevertheless, conventional methods either only utilized the limited information of aerial images, or simply fused multimodal information (e.g., vehicle trajectories), thus cannot well recognize unconstrained roads. To facilitate this problem, we introduce a novel neural network framework termed cross-modal message propagation network (CMMPNet), which fully benefits the complementary different modal data (i.e., aerial images and crowdsourced trajectories). Specifically, CMMPNet is composed of two deep autoencoders for modality-specific representation learning and a tailor-designed dual enhancement module for cross-modal representation refinement. In particular, the complementary information of each modality is comprehensively extracted and dynamically propagated to enhance the representation of another modality. Extensive experiments on three real-world benchmarks demonstrate the effectiveness of our CMMPNet for robust road extraction benefiting from blending different modal data, either using image and trajectory data or image and light detection and ranging (LiDAR) data. From the experimental results, we observe that the proposed approach outperforms current state-of-the-art methods by large margins. Our source code is resealed on the project page http://lingboliu.com/multimodal_road_extraction.html. © 2012 IEEE.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124088570&doi=10.1109%2fTNNLS.2022.3141821&partnerID=40&md5=8f0d0185880d6c09a3c871859c719b4c,IEEE Transactions on Neural Networks and Learning Systems,Exclude,,Exclude,
Asadi M.; Swamy V.; Frej J.; Vignoud J.; Marras M.; Käser T.,Ripple: Concept-Based Interpretation for Raw Time Series Models in Education,"Time series is the most prevalent form of input data for educational prediction tasks. The vast majority of research using time series data focuses on hand-crafted features, designed by experts for predictive performance and interpretability. However, extracting these features is labor-intensive for humans and computers. In this paper, we propose an approach that utilizes irregular multivariate time series modeling with graph neural networks to achieve comparable or better accuracy with raw time series clickstreams in comparison to handcrafted features. Furthermore, we extend concept activation vectors for interpretability in raw time series models. We analyze these advances in the education domain, addressing the task of early student performance prediction for downstream targeted interventions and instructional support. Our experimental analysis on 23 MOOCs with millions of combined interactions over six behavioral dimensions show that models designed with our approach can (i) beat state-of-the-art educational time series baselines with no feature extraction and (ii) provide interpretable insights for personalized interventions. Source code: https://github.com/epfl-ml4ed/ripple/. Copyright © 2023, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165559781&partnerID=40&md5=877d19dc369a811deebaf9f3ed418850,"Proceedings of the 37th AAAI Conference on Artificial Intelligence, AAAI 2023",Exclude,,Exclude,
