Full Reference,Inclusion,Has PDF,Reason
"Heo K., Lee W., Pashakhanloo P., Naik M., Effective program debloating via reinforcement learning, Proceedings of the 2018 ACM SIGSAC Conference on Computer and Communications Security, pp. 380-394, (2018)",Exclude,Yes,I2.2(I1.1)
"Piech C., Huang J., Nguyen A., Phulsuksombati M., Sahami M., Guibas L., Learning program embeddings to propagate feedback on student code, International conference on machine Learning, pp. 1093-1102, (2015)",Exclude,Yes,E1.3
"Gupta R., Kanade A., Shevade S., Neural attribution for semantic bug-localization in student programs, NeurIPS, (2019)",Include,Yes,I1.1
"Liang H., Sun L., Wang M., Yang Y., Deep learning with customized abstract syntax tree for bug localization, IEEE Access, 7, pp. 116309-116320, (2019)",Include,Yes,"I1.1,I1.2"
"Zhang J., Xie R., Ye W., Zhang Y., Zhang S., Exploiting code knowledge graph for bug localization via bi-directional attention, pp. 219-229, (2020)",Include,Yes,I2.2
"Zhu Z., Li Y., Tong H., Wang Y., COOBA: Cross-project bug localization via adversarial transfer learning, pp. 3565-3571, (2020)",Include,Yes,I1.1
"Wong W.E., Qi Y., BP Neural Network-based Effective Fault Localization, International Journal of Software Engineering and Knowledge Engineering, 19, 4, (2019)","",Cannot Access,
"Li X., Li W., Zhang Y., Zhang L., Deepfl: Integrating multiple fault diagnosis dimensions for deep fault localization, Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis, pp. 169-180, (2019)",Exclude,Yes,E2.2(E1.1)
"Zhong H., Mei H., Learning a graph-based classifier for fault localization, Science China Information Sciences, 63, (2020)",Include,Yes,I1.1
"Wang Z., Zheng Q., Sun Y., GVD-net: graph embedding-based machine learning model for smart contract vulnerability detection. Proceedings of the 2022 International Conference on Algorithms, Data Mining, and Information Technology",Include,Yes,I2.2
"Buch L., Andrzejak A., Learning-based recursive aggregation of abstract syntax trees for code clone detection. Proceedings of the 2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering",Include,Yes,I1.1
"Bowman B., Huang H.H., VGRAPH: a robust vulnerable code clone detection system using code property triplets. Proceedings of the 2020 IEEE European Symposium on Security and Privacy",Include,Yes,I1.1
"Cheng X., Wang H., Hua J., Et al., Static detection of control-flow-related vulnerabilities using graph embedding. Proceedings of the 2019 24th International Conference on Engineering of Complex Computer Systems (ICECCS)",Include,Yes,I1.1
"Li Z., Li H., Peter Chen T., Shang W., 2021 DeepLV: Suggesting Log Levels Using Ordinal Based Neural Networks, 2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE). 1461-1472",Include,Yes,I2.2
"DeFreez D., Thakur A.V., Rubio-Gonzalez C., Path-based function embedding and its application to error-handling specification mining, ESEC/FSE, pp. 423-433, (2018)",Include,Yes,I1.1
"Kang H. J., Lo D., Active learning of discriminative subgraph patterns for api misuse detection, IEEE Transactions on Software Engineering, (2021)",Include,Yes,I1.1
"Chen C., Et al., Generative API usage code recommendation with parameter concretization, SCIENCE CHINA Inf. Sci., 62, 9, pp. 1921031-19210322, (2019)",Include,Yes,I1.1
"Ling C., Zou Y., Xie B., Graph neural network based collaborative filtering for api usage recommendation, Proceedings of the 2021 IEEE International Conference on Software Analysis, Evolution and Reengineering, pp. 36-47, (2021)",Include,Yes,
"Wang Y., Li H., Code Completion by Modeling Flattened Abstract Syntax Trees as Graphs. Arxiv Preprint Arxiv, 2103, (2021)",Include,Yes,I1.1
"Mehrotra N., Agarwal N., Gupta P., Anand S., Lo D., Purandare R., Modeling Functional Similarity in Source Code with Graph-Based Siamese Networks. Arxiv Preprint Arxiv, 2011, (2020)",Include,Yes,I1.1
"Liu H., Jin J., Xu Z., Et al., Deep Learning Based Code Smell De-tection, IEEE Trans. Software Engineering, 47, (2021)",Exclude,Yes,I2.2(E1.1)
"Hadj-Kacem M., Bouassida N., A hybrid approach to detect code smells using deep learning, Proceedings of the 13th International Conference on Eval- Uation of Novel Approaches to Software Engineering. SciTePress, pp. 137-146, (2018)",Exclude,Yes,I2.2(E1.1)
"Hoang T., Lawall J., Tian Y., Oentaryo R.J., Lo D., PatchNet: Hierarchical deep learning-based stable patch identification for the linux kernel, IEEE Trans. Softw. Eng., 47, 11, pp. 2471-2486, (2021)",Exclude,Yes,E1.1
"Wang X., Wang S., Feng P., Sun K., Jajodia S., Benchaaboun S., Geck F., PatchRNN: A deep learning-based system for security patch identification, CoRR, (2021)",Exclude,Yes,E1.1
"Bui Q.N.D., Yu Y., Jiang L., TreeCaps: Tree-Based Capsule Networks for Source Code Processing, Thirty-Fifth AAAI Conference on Artificial Intelligence, AAAI 2021, Thirty-Third Conference on Innovative Applications of Artificial Intelligence, IAAI 2021, The Eleventh Symposium on Educational Advances in Artificial Intelligence, EAAI 2021, pp. 30-38, (2021)",Include,Yes,I1.1
"Hua W., Sui Y., Wan Y., Liu G., Xu G., FCCA: Hybrid code representation for functional clone detection using attention networks, IEEE Trans. Reliabil., 70, pp. 304-318, (2020)",Include,Yes,I1.1
"White M., Tufano M., Vendome C., Poshyvanyk D., Deep learning code fragments for code clone detection, ASE, (2016)",Include,Yes,I2.3
"Zeng J., Ben K., Li X., Zhang X., Fast code clone detection based on weighted recursive autoencoders, IEEE Access, 7, pp. 125062-125078, (2019)",Include,Yes,I2.3
"Yu H., Lam W., Chen L., Li G., Xie T., Wang Q., Neural detection of semantic code clones via tree-based convolution, Proceedings of the 27th International Conference on Program Comprehension, pp. 70-80, (2019)",Include,Yes,I1.1
"Fang C., Liu Z., Shi Y., Huang J., Shi Q., Functional code clone detection with syntax and semantics fusion learning, pp. 516-527, (2020)",Include,Yes,I1.1
"Wei H., Li M., Supervised deep features for software functional clone detection by exploiting lexical and syntactical information in source code, IJCAI, pp. 3034-3040, (2017)",Include,Yes,I1.1
"Higo Y., Yasushi U., Nishino M., Kusumoto S., Incremental code clone detection: A pdg-based approach, Proceedings of the 2011 18th Working Conference on Reverse Engineering, pp. 3-12, (2011)",Exclude,Yes,E1.1
"Nafi K.W., Kar T.S., Roy B., Roy C.K., Schneider K.A., Cross language code clone detection using syntactical features and API documentation, Proceedings - 2019 34Th IEEE/ACM International Conference on Automated Software Engineering, pp. 1026-1037, (2019)",Include,Yes,I2.3
"Ullah F., Jabbar S., Al-Turjman F., Programmers' de-anonymization using a hybrid approach of abstract syntax tree and deep learning, Tech-nol. Forecasting Social Change, 159, (2020)",Include,Yes,I1.1
"Zhang J., Wang X., Zhang H., Sun H., Wang K., Liu X., A novel neural source code representation based on abstract syntax tree, Proceedings of the 41st International Conference on Software Engineering, ICSE 2019, pp. 783-794, (2019)",Include,Yes,I1.1
"Tufano M., Watson C., Bavota G., Di Penta M., White M., Poshyvanyk D., Deep learning similarities from different representations of source code, MSR, (2018)",Include,Yes,I1.1
"Gu W., Et al., CRaDLe: Deep code retrieval based on semantic dependency learning, Neural Netw, 141, pp. 385-394, (2021)",Include,Yes,I1.1
"Zhao G., Huang J., Deepsim: deep learning code functional similarity, pp. 141-151, (2018)",Include,Yes,I1.1
"Chakraborty S., Ray B., On multi-modal learning of editing source code, ASE, pp. 443-455, (2021)",Exclude,Yes,
"Bogdanova A., Source code authorship attribution using file embeddings, Proc. ACM SIGPLAN Int. Conf. Syst., Program., Lang., Appl., Softw. Hum., pp. 31-33, (2021)",Exclude,Yes,E2.2(E1.1)
"Bui N.D.Q., Yu Y., Jiang L., 2021 Self-Supervised Contrastive Learning for Code Retrieval and Summarization via Semantic-Preserving Transformations, Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR ?21). ACM, pp. 511-521",Include,Yes,I1.1
"Bui N.D.Q., Yu Y., Jiang L., Bilateral dependency neural networks for cross-language algorithm classification, 2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER). IEEE, pp. 422-433, (2019)",Include,Yes,I1.1
"Liu S., A Unified Framework to Learn Program Semantics with Graph Neural Networks, 2020 35th IEEE/ACM International Conference on Automated Software Engineering (ASE, (2020)",Include,Yes,I1.1
"Fang S., Tan Y., Zhang T., Et al., Effective prediction of bug-fixing priority via weighted graph convolutional networks[J], IEEE Trans. Reliab., 70, 2, pp. 563-574, (2021)",Exclude,Yes,E1.9
"Lacomis J., Yin P., Schwartz E., Allamanis M., Le Goues C., Neubig G., Vasilescu B., Dire: A Neural Approach to Decompiled Identifier Naming, pp. 628-639, (2019)",Include,Yes,I2.3
"Dinella E., Dai H., Li Z., Naik M., Song L., Wang K., Hoppity: Learning Graph Transformations to Detect and Fix Bugs in Programs, International Conference on Learning Representations, (2020)",Include,Yes,I2.3
"Xu S., Zhang S., Wang W., Cao X., Guo C., Xu J., Method name suggestion with hierarchical attention networks, Proceedings of the 2019 Acm Sigplan Workshop on Partial Evaluation and Program Manipulation, Acm, pp. 10-21, (2019)",Include,Yes,I2.3
"Huo X., Li M., Zhou Z.H., Et al., Learning Unified Features from Natural and Programming Languages for Locating Buggy Source Code, 16, pp. 1606-1612, (2016)",Exclude,Yes,E1.1
"Pradel M., Sen K., DeepBugs: A learning approach to name-based bug detection, Proc. ACM Program. Lang., 2, OOPSLA, pp. 1471-147:25, (2018)",Exclude,Yes,E1.1
"Meneely A., Williams L., Snipes W., Osborne J., Predicting failures with developer networks and social network analysis, Proceedings of the 16th ACM SIGSOFT International Symposium On Foundations of Software Engineering, pp. 13-23, (2008)",Include,Yes,I2.3
"Bird C., Nagappan N., Gall H., Murphy B., Devanbu P., Putting it all together: Using socio-technical networks to predict failures, 2009 20th International Symposium On Software Reliability Engineering, pp. 109-119, (2009)",Include,Yes,I2.3
"Chen L., Ma W., Zhou Y., Xu L., Wang Z., Chen Z., Xu B., Empirical analysis of network measures for predicting high severity software faults, Sci. China Inf. Sci., 59, 12, pp. 1-18, (2016)",Include,Yes,I1.1
"Ma W., Chen L., Yang Y., Zhou Y., Xu B., Empirical analysis of network measures for effort-aware fault-proneness prediction, Inf. Softw. Technol., 69, pp. 50-70, (2016)",Include,Yes,I2.3
"Li Y., Wong W.E., Lee S.Y., Wotawa F., Using tri-relation networks for effective software fault-proneness prediction, Ieee Access, 7, pp. 63066-63080, (2019)",Include,Yes,I2.3
"Zimmermann T., Nagappan N., Predicting defects using network analysis on dependency graphs, Proceedings of the 30th International Conference On Software Engineering, pp. 531-540, (2008)",Include,Yes,I2.3
"Hoang T., Jin Kang H., Lawall J., Lo D., CC2Vec: Distributed representations of code changes, Proceedings of the 42nd International Conference on Software Engineering, pp. 518-529, (2020)",Exclude,Yes,I2.2(E1.1)
"Faruk Rokon O., Yan P., Islam R., Faloutsos M., Repo2vec: A comprehensive embedding approach for determining repository similarity, ICSME, (2021)",Include,Yes,"I1.1,I1.2"
"Sui Y., Cheng X., Zhang G., Wang H., 2020 Flow2Vec: Value-Flow-Based Precise Code Embedding. Proc, ACM Program. Lang 4, (2020)",Exclude,Yes,E1.1
"Alon U., Zilberstein M., Levy O., Yahav E., 2019. Code2vec: Learning Distributed Representations of Code, 3, (2019)",Include,Yes,I1.1
"Cabrera Lozoya R., Baumann A., Sabetta A., Bezzi M., Commit2vec: Learning distributed representations of code changes, SN Computer Science, 2, 3, pp. 1-16, (2021)",Include,Yes,I1.1
"Sun Z., Zhu Q., Xiong Y., Sun Y., Mou L., Zhang L., TreeGen: A tree-based transformer architecture for code generation, AAAI, (2020)",Include,Yes,
"Ben-Nun T., Jakobovits A. S., Hoefler T., Neural code comprehension: a learnable representation of code semantics, Advances in Neural Information Processing Systems, pp. 3585-3597, (2018)",Include,Yes,I1.1
"Shido Y., Kobayashi Y., Yamamoto A., Miyamoto A., Matsumura T., Automatic Source Code Summarization with Extended Treelstm, (2019)",Include,Yes,
"Liu S., Chen Y., Xie X., Siow J., Liu Y., Automatic code summarization via multi-dimensional semantic fusing in GNN, CoRR, (2020)",Include,Yes,
"Brody S., Alon U., Yahav E., A structural model for contextual code changes, Proceedings of the ACM on Programming Languages, 4, pp. 1-28, (2020)",Include,Yes,I2.3
"Wei B., Li Y., Li G., Xia X., Jin Z., Retrieve and refine: Exemplarbased neural comment generation, Proc. IEEE/ACM 35th Int. Conf. Automated Softw. Eng, pp. 349-360, (2020)",Include,Yes,
"Wu H., Zhao H., Zhang M., Code summarization with structure-induced transformer, Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021, pp. 1078-1090, (2021)",Include,Yes,
"LeClair A., Jiang S., McMillan C., A neural model for generating natural language summaries of program subroutines, Icse, pp. 795-806, (2019)",Include,Yes,
"Zhou Z., Yu H., Fan G., Huang Z., Yang X., Summarizing source code with hierarchical code representation, Inf. Softw. Technol., 143, (2022)",Include,Yes,
"Gong Z., Gao C., Wang Y., Gu W., Peng Y., Xu Z., Source code summarization with structural relative position guided transformer, (2022)",Include,Yes,
"Hellendoorn V.J., Sutton C., Singh R., Maniatis P., Bieber D., Global relational models of source code, International Conference on Learning Representations, (2020)",Include,Yes,I1.1
"Zhou W., Junhua W., Code comments generation with data flow-guided transformer, Web Information Systems and Applications: 19Th International Conference, WISA 2022, Dalian, China, September 16–18, 2022, Proceedings, pp. 168-180, (2022)",Include,Yes,
"Zhang L., Rosenblatt G., Fetaya E., Liao R., Byrd W., Might M., Urtasun R., Zemel R., Neural guided constraint logic programming for program synthesis, Adv Neural Inf Process Syst, (2018)",Include,Yes,I1.1
"Guo D., Ren S., Lu S., Feng Z., Tang D., Liu S., Zhou L., Duan N., Svyatkovskiy A., Fu S., Et al., Graphcodebert: Pre-training code representations with data-ow, (2020)",Include,Yes,I1.1
"Wang Y., Dong Y., Lu X., Zhou A., Gypsum: Learning hybrid representations for code summarization, Proceedings of the 30th IEEE/ACM International Conference on Program Comprehension, pp. 12-23, (2022)",Include,Yes,
"Jiang X., Zheng Z., Lyu C., Li L., Lyu L., Treebert: A tree-based pre-trained model for programming language, UAI 2021: Uncertainty in Artificial Intelligence, (2021)",Include,Yes,I1.1
"Yin P., Neubig G., A syntactic neural model for general-purpose code generation, Proc. 55th Annu. Meeting Assoc. Comput. Linguistics, pp. 440-450, (2017)",Include,Yes,
"Bui N.D.Q., Yu Y., Jiang L., InferCode: Self-Supervised Learning of Code Representations by Predicting Subtrees, 2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)., pp. 1186-1197, (2021)",Include,Yes,I1.1
"Choi Y.S., Bak J.Y., Na C.W., Lee J.H., Learning sequential and structural information for source code summarization, Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021, pp. 2842-2851, (2021)",Include,Yes,
"Vagavolu D., Swarna K. C., Chimalakonda S., A mocktail of source code representations, ASE, (2021)",Include,Yes,I1.1
"Peng H., Li G., Wang W., Zhao Y., Jin Z., Integrating tree path in transformer for code representation, Thirty-Fifth Conference on Neural Information Processing Systems, (2021)",Include,Yes,
"Gao Y., Lyu C., M2ts: Multi-scale multi-modal approach based on transformer for source code summarization, Proceedings of the 30th IEEE/ACM International Conference on Program Comprehension, pp. 24-35, (2022)",Include,Yes,
"Rabinovich M., Stern M., Klein D., Abstract Syntax Networks for Code Generation and Semantic Parsing, Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics, pp. 1139-1149, (2017)",Include,Yes,
"Zhou Z., Yu H., Fan G., Effective approaches to combining lexical and syntactical information for code summarization, Softw Pract Exp, 50, 12, pp. 2313-2336, (2020)",Include,Yes,
"Sun Z., Zhu Q., Mou L., Xiong Y., Li G., Zhang L., A grammar- based structural CNN decoder for code generation, (2018)",Include,Yes,
"Lo W.W., Layeghy S., Sarhan M., Gallagher M., Portmann M., GNN-based Android Malware Detection with Jumping Knowledge, (2022)",Exclude,Yes,E1.9
"Hou S., Fan Y., Zhang Y., Ye Y., Lei J., Wan W., Wang J., Xiong Q., Shao F., cyber: Enhancing robustness of android malware detection system against adversarial attacks on heterogeneous graph based model, CIKM, (2019)",Exclude,Yes,E1.9
"Pei X., Yu L., Tian S., AMalnet: A deep learning framework based on graph convolutional networks for malware detection, Comput. Secur., 93, (2020)",Exclude,Yes,E1.9
"Hou S., Ye Y., Song Y., Abdulhayoglu M., Hindroid: An intelligent android malware detection system based on structured heterogeneous information network, KDD, (2017)",Exclude,Yes,E1.9
"Chen D., Chen X., Li H., Xie J., Mu Y., Deepcpdp: Deep learning based cross-project defect prediction, Ieee Access, 7, pp. 184832-184848, (2019)",Include,Yes,I1.1
