Title,Full Reference,Inclusion (Title),Inclusion (Abstract)
software vulnerability detection via deep learning over disaggregated code graph representation. corr abs/2109.03341,"Zhuang Y., Suneja S., Thost V., Domeniconi G., Morari A., Laredo J., Software vulnerability detection via deep learning over disaggregated code graph representation. CoRR abs/2109.03341",Include,Exclude (Pre-print)
discovery of technical expertise from open source code repositories,"Venkataramani R., Gupta A., Asadullah A., Muddu B., Bhat V., Discovery of technical expertise from open source code repositories, WWW, pp. 97-98, (2013)",Exclude,""
towards a software vulnerability prediction model using traceable code patterns and software metrics,"Sultana K.Z., Towards a software vulnerability prediction model using traceable code patterns and software metrics, Proc. 32nd IEEE/ACM Int. Conf. Automated Softw. Eng. (ASE), pp. 1022-1025, (2017)",Exclude,""
learning to blame: localizing novice type errors with data-driven diagnosis,"Seidel E.L., Sibghat H., Chaudhuri K., Weimer W., Jhala R., Learning to blame: Localizing novice type errors with data-driven diagnosis, OOPSLA, pp. 601-6027, (2017)",Exclude,""
summarizing source code using a neural attention model,"Iyer S., Konstas I., Cheung A., Zettlemoyer L., Summarizing Source Code using a Neural Attention Model, Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics, ACL 2016, 1, (2016)",Include,Exclude
generative code modeling with graphs,"Brockschmidt M., Allamanis M., Gaunt A.L., Polozov O., Generative Code Modeling with Graphs, International Conference on Learning Representations, (2019)",Include,Include
deepsim: deep semantic information-based automatic mandelbug classification,"Du X., Zheng Z., Xiao G., Zhou Z., Trivedi K.S., DeepSIM: Deep semantic information-based automatic mandelbug classification, IEEE Trans. Reliab., (2021)",Include,Exclude
think locally,"Bettenburg N., Nagappan M., Hassan A.E., Think locally, act globally: Improving defect and effort prediction models, Proceedings of the 9th IEEE Working Conference On Mining Software Repositories, pp. 60-69, (2012)",Include,""
dos and don'ts of machine learning in computer security,"Arp D., Quiring E., Pendlebury F., Warnecke A., Pierazzi F., Wressnegger C., Cavallaro L., Rieck K., Dos and don'ts of machine learning in computer security, USENIX Security Symposium, (2022)",Exclude,""
sard: a software assurance reference dataset,"Sard: A Software Assurance Reference Dataset, (2021)",Exclude,""
generating long sequences with sparse transformers,"Child R., Gray S., Radford A., Sutskever I., Generating long sequences with sparse transformers, (2019)",Exclude,""
how can i use this method?,"Moreno L., Bavota G., Di Penta M., Oliveto R., Marcus A., How can i use this method?, Proceedings of the 37th IEEE/ACM International Conference on Software Engineering (ICSE'15), (2015)",Exclude,""
practical recommendations for gradient-based training of deep architectures,"Bengio Y., Practical recommendations for gradient-based training of deep architectures, Neural Networks: Tricks of the Trade, ser. LNCS., 7700, pp. 437-478, (2012)",Exclude,""
vulinoss: a dataset of security vulnerabilities in open-source systems,"Gkortzis A., Mitropoulos D., Spinellis D., Vulinoss: A dataset of security vulnerabilities in open-source systems, Proceedings of the 15th International Conference on Mining Software Repositories, MSR 2018, pp. 18-21, (2018)",Exclude,""
automatic inference of search patterns for taint-style vulnerabilities,"Yamaguchi F., Maier A., Gascon H., Rieck K., Automatic inference of search patterns for taint-style vulnerabilities, 2015 IEEE Symposium on Security and Privacy. IEEE, pp. 797-812, (2015)",Exclude,""
deepdelta: learning to repair compilation errors,"Mesbah A., Rice A., Johnston E., Glorioso N., Aftandilian E., DeepDelta: Learning to repair compilation errors, Foundations of Software Engineering. ACM, pp. 925-936, (2019)",Include,Exclude
deepam: migrate apis with multi-modal sequence to sequence learning,"Gu X., Zhang H., Zhang D., Kim S., DeepAM: migrate APIs with multi-modal sequence to sequence learning, IJCAI'17 Proceedings of the 26th International Joint Conference on Artificial Intelligence, pp. 3675-3681, (2017)",Exclude,""
synthesizing benchmarks for predictive modeling,"Cummins C., Petoumenos P., Wang Z., Leather H., Synthesizing benchmarks for predictive modeling, 2017 IEEE/ACM International Symposium on Code Generation and Optimization (CGO), (2017)",Exclude,""
a static pre-filter for malicious javascript detection,"Fass A., Backes M., Stock B., Jstap: A static pre-filter for malicious javascript detection, Proceedings of the 35th Annual Computer Security Applications Conference, pp. 257-269, (2019)",Exclude,""
joern(open-source code querying engine for c/c++.),"Joern(Open-Source Code Querying Engine for C/C++.), (2019)",Exclude,""
decoupled weight decay regularization,"Loshchilov I., Hutter F., Decoupled Weight Decay Regularization, 7th International Conference on Learning Representations, ICLR 2019, (2019)",Exclude,""
on-the-fly operation batching in dynamic computation graphs,"Neubig G., Goldberg Y., Dyer C., On-The-fly operation batching in dynamic computation graphs, Advances in Neural Information Processing Systems., pp. 3971-3981, (2017)",Exclude,""
stackoverflow and github: associations between software development and crowdsourced knowledge,"Vasilescu B., Filkov V., Serebrenik A., Stackoverflow and github: Associations between software development and crowdsourced knowledge, 2013 International Conference on Social Computing., pp. 188-195, (2013)",Exclude,""
bridge text and knowledge by learning multi-prototype entity mention embedding,"Cao Y., Huang L., Ji H., Chen X., Li J., Bridge text and knowledge by learning multi-prototype entity mention embedding, Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics, pp. 1623-1633, (2017)",Exclude,""
syntax-directed variational autoencoder for structured data,"DAI H., TIAN Y., DAI B., SKIENA S., SONG L., Syntax-directed variational autoencoder for structured data, Proceedings of the 6th International Conference on Learning Representations, (2018)",Include,Include
manual of environmental microbiology,"Manual of Environmental Microbiology, (2016)",Exclude,""
cast: enhancing code summarization with hierarchical splitting and reconstruction of abstract syntax trees,"Shi E., Et al., Cast: Enhancing code summarization with hierarchical splitting and reconstruction of abstract syntax trees, (2021)",Include,Include
klee: unassisted and automatic generation of high-coverage tests for complex systems programs,"Cadar C., Dunbar D., Engler D., KLEE: Unassisted and Automatic Generation of High-Coverage Tests for Complex Systems Programs, Proceedings of the 8th USENIX Conference on Operating Systems Design and Implementation (San Diego, California) (OSDI'08), pp. 209-224, (2008)",Exclude,""
autonomously generating hints by inferring problem solving policies,"PIECH C., SAHAMI M., HUANG J., GUIBAS L., Autonomously generating hints by inferring problem solving policies, Proceedings of the Second ACM Conference on Learning @ Scale, pp. 195-204, (2015)",Exclude,""
east: an efficient and accurate scene text detector,"Zhou X., Yao C., Wen H., Wang Y., Zhou S., He W., Liang J., East: An efficient and accurate scene text detector, Proceedings of the IEEE conference on Computer Vision and Pattern Recognition, pp. 5551-5560, (2017)",Exclude,""
class imbalance revisited: a new experimental setup to assess the performance of treatment methods,"Prati R.C., Batista G.E., Silva D.F., Class imbalance revisited: A new experimental setup to assess the performance of treatment methods, Knowl. Inf. Syst., 45, 1, pp. 247-270, (2015)",Exclude,""
2021 vuldeelocator: a deep learning-based fine-grained vulnerability detector ieee transactions on dependable and secure computing,"Li Z., Zou D., Xu S., Chen Z., Zhu Y., Jin H., 2021 VulDeeLocator: A Deep Learning-based Fine-grained Vulnerability Detector IEEE Transactions on Dependable and Secure Computing, 1, 2021, pp. 1-1",Include,Include
value-flow-based demand-driven pointer analysis for c and c++,"Sui Y., Xue J., Value-flow-based demand-driven pointer analysis for C and C++, IEEE Trans Softw Eng, 46, 8, pp. 812-835, (2020)",Include,Exclude
software fault prediction metrics: a systematic literature review,"Radjenovic D., Hericko M., Torkar R., Zivkovic A., Software fault prediction metrics: A systematic literature review, Inf. Softw. Technol., 55, 8, pp. 1397-1418, (2013)",Exclude,""
2020. deep learning based vulnerability detection: are we there yet?,"Chakraborty S., Krishna R., Ding Y., Ray B., 2020. Deep Learning Based Vulnerability Detection: Are We There Yet?",Exclude,""
log2vec: a heterogeneous graph embedding based approach for detecting cyber threats within enterprise,"Liu F., Wen Y., Zhang D., Jiang X., Xing X., Meng D., Log2vec: A heterogeneous graph embedding based approach for detecting cyber threats within enterprise, Proceedings of the 2019 ACM SIGSAC Conference on Computer and Communications Security (CCS). 1777-1794, (2019)",Include,Exclude
a survey on software smells,"Sharma T., Spinellis D., A survey on software smells, Journal of Systems and Software, 138, pp. 158-173, (2018)",Exclude,""
autoencoder constrained clustering with adaptive neighbors,"Li X., Zhang R., Wang Q., Zhang H., Autoencoder constrained clustering with adaptive neighbors, IEEE Trans. Neural Netw. Learn. Syst., 32, 1, pp. 443-449, (2021)",Exclude,""
sequence-to-sequence learning as beamsearch optimization,"Wiseman S., Rush A.M., Sequence-to-sequence learning as beamsearch optimization, Empirical Methods in Natural Language Processing (EMNLP), (2016)",Exclude,""
an initial study on the use of execution complexity metrics as indicators of software vulnerabilities,"Shin Y., Williams L., An initial study on the use of execution complexity metrics as indicators of software vulnerabilities, Proceedings of the SESS, Honolulu, HI, USA, pp. 1-7, (2011)",Exclude,""
predicting bug-fix time: using standard versus topic-based text categorization techniques,"Ardimento P., Bilancia M., Monopoli S., Predicting Bug-Fix Time: Using Standard Versus Topic-Based Text Categorization Techniques, Discovery Science -19th International Conference, Ds 2016, 9956, pp. 167-182, (2016)",Exclude,""
automated vulnerability analysis: leveraging control flow for evolutionary input crafting,"Sparks S., Embleton S., Cunningham R., Zou C.C., Automated vulnerability analysis: Leveraging control flow for evolutionary input crafting, 23rd Annual Computer Security Applications Conference (ACSAC 2007), December 10-14, 2007, Miami Beach, Florida, USA, pp. 477-486, (2007)",Include,Include
microsoft. prefast analysis tool,"Microsoft. PREfast Analysis Tool, (2012)",Exclude,""
a human study of comprehension and code summarization,"Stapleton S., Et al., A human study of comprehension and code summarization, Proc. 28th Int. Conf. Prog. Comprehension, pp. 2-13, (2020)",Exclude,""
apache log4j,"Apache Log4j, (2022)",Include,""
profiling developer expertise across software communities with heterogeneous information network analysis,"Yan J., Sun H., Wang X., Liu X., Song X., Profiling Developer Expertise Across Software Communities With Heterogeneous Information Network Analysis, Proceedings of the Tenth Asia-Pacific Symposium on Internetware, pp. 1-9, (2018)",Include,Include
dlfinder: characterizing and detecting duplicate logging code smells,"Li Z., Chen T., Yang J., Shang W., DLFinder: Characterizing and detecting duplicate logging code smells, 2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE). 152-163, (2019)",Exclude,""
abstractive sentence summarization with attentive recurrent neural networks,"Chopra Sumit, Auli Michael, Rush Alexander M, Abstractive sentence summarization with attentive recurrent neural networks, Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, pp. 93-98, (2016)",Exclude,""
leveraging label information in representation learning for multi-label text classification,"Jiayu W., Leveraging Label Information in Representation Learning for Multi-label Text Classification, (2019)",Exclude,""
cross-lingual word embeddings for low-resource language modeling,"Adams O., Makarucha A., Neubig G., Bird S., Cohn T., Cross-lingual word embeddings for low-resource language modeling, Proceedings of the 15th Conference of the European Chapter of the Association for Computational Linguistics: Volume 1, Long Papers, pp. 937-947, (2017)",Exclude,""
ramsey vs. lexicographic termination proving,"Cook B., See A., Zuleger F., Ramsey vs. Lexicographic Termination Proving, Tools and Algorithms for the Construction and Analysis of Systems-19th International Conference, TACAS 2013, 7795, pp. 47-61, (2013)",Exclude,""
graph-based bag-of-words for classification,"Silva F.B., Werneck R.D.O., Goldenstein S., Tabbone S., Torres R.D.S., Graph-based bag-of-words for classification, Pattern Recognition, 74, pp. 266-285, (2018)",Exclude,""
chucky: exposing missing checks in source code for vulnerability discovery,"Yamaguchi F., Wressnegger C., Gascon H., Rieck K., Chucky: Exposing missing checks in source code for vulnerability discovery, Proceedings of the 2013 ACM SIGSAC Conference on Computer & Communications Security (CCS’13), pp. 499-510, (2013)",Exclude,""
learning to rank relevant files for bug reports using domain knowledge,"Ye X., Bunescu R., Liu C., Learning to rank relevant files for bug reports using domain knowledge, Proceedings of the 22nd Acm Sigsoft International Symposium on Foundations of Software Engineering., pp. 689-699, (2014)",Exclude,""
katana: dual slicing-based context for learning bug fixes,"Sintaha M., Nashid N., Mesbah A., Katana: Dual slicing-based context for learning bug fixes, (2022)",Exclude,""
a novel multi-module integrated intrusion detection system for high-dimensional imbalanced data,"Cui J., Zong L., Xie J., Tang M., A novel multi-module integrated intrusion detection system for high-dimensional imbalanced data, Applied Intelligence, 53, 1, pp. 272-288, (2023)",Exclude,""
simple or complex? together for a more accurate just-in-time defect predictor,"Zhou X., Han D., Lo D., Simple or complex? together for a more accurate just-in-time defect predictor, ICPC, pp. 229-240, (2022)",Exclude,""
automatically finding patches using genetic programming,"Weimer W., Nguyen T., Le Goues C., Forrest S., Automatically finding patches using genetic programming, 2009 IEEE 31st International Conference on Software Engineering. IEEE, pp. 364-374, (2009)",Exclude,""
adadelta: an adaptive learning rate method,"Zeiler M.D., ADADELTA: An adaptive learning rate method, . Arxiv, 1212, (2012)",Exclude,""
on the evaluation of neural code summarization,"Shi E., Wang Y., Du L., Chen J., Han S., Zhang H., Zhang D., Sun H., On the evaluation of neural code summarization, Proceedings of the 44th International Conference on Software Engineering, pp. 1597-1608, (2022)",Exclude,""
mining file histories: should we consider branches?,"Kovalenko V., Palomba F., Bacchelli A., Mining file histories: Should we consider branches?, 2018 33rd IEEE/ACM International Conference on Automated Software Engineering (ASE), pp. 202-213, (2018)",Exclude,""
a comprehensive study on security bug characteristics,"Wei Y., Sun X., Bo L., Cao S., Xia X., Li B., A comprehensive study on security bug characteristics, J. Softw. Evol. Process., 33, 10, (2021)",Exclude,""
a novel method for early software quality prediction based on support vector machine,"Xing F., Guo P., Lyu M.R., A novel method for early software quality prediction based on support vector machine, 16th IEEE International Symposium on Software Reliability Engineering, ISSRE’05, (2005)",Exclude,""
long-span program behavior modeling and attack detection,"Shu X., Yao D., Ramakrishnan N., Jaeger T., Long-span program behavior modeling and attack detection, Acm Trans. Privacy Secur, 20, 4, pp. 1-28, (2017)",Exclude,""
attention is not explanation,"Jain S., Wallace B.C., Attention is not explanation, (2019)",Exclude,""
on the significance of category prediction for code-comment synchronization,"Zhen Y., Keung J.W., Xiao Y., Yan X., Zhi J., Zhang J., On the significance of category prediction for code-comment synchronization, ACM Trans. Softw. Eng. Methodol., (2022)",Exclude,""
premise selection for theorem proving by deep graph embedding,"Wang M., Tang Y., Wang J., Deng J., Premise selection for theorem proving by deep graph embedding, Advances in Neural Information Processing Systems, pp. 2783-2793, (2017)",Exclude,""
automatically capturing source code context of nl-queries for software maintenance and reuse,"Hill E., Pollock L.L., Vijay-Shanker K., Automatically capturing source code context of NL-queries for software maintenance and reuse, Proceedings of the 31st International Conference on Software Engineering, ICSE 2009, pp. 232-242",Exclude,""
textrank: bringing order into text,"Rada M., Tarau P., Textrank: Bringing order into text, Proceedings of the 2004 Conference on Empirical Methods in Natural Language Processing, pp. 404-411, (2004)",Exclude,""
a survey of transformers,"Lin T., Wang Y., Liu X., Qiu X., A survey of transformers, (2021)",Exclude,""
detecting format string vulnerabilities with type qualifiers,"Shankar U., Talwar K., Foster J.S., Wagner D.A., Detecting format string vulnerabilities with type qualifiers, Proceedings of the 2001 USENIX Security Symposium (USENlX security'Oi)., pp. 201-220, (2001)",Exclude,""
timers: error-bounded svd restart on dynamic networks,"Zhang Z., Cui P., Pei J., Wang X., Zhu W., TIMERS: Error-Bounded SVD Restart On Dynamic Networks, Thirty-second AAAI Conference on Artificial Intelligence, (2018)",Exclude,""
atom: commit message generation based on abstract syntax tree and hybrid ranking,"Liu S., Gao C., Chen S., Lun Yiu N., Liu Y., Atom: Commit message generation based on abstract syntax tree and hybrid ranking, IEEE Transactions on Software Engineering, (2020)",Include,Include
sentiment classification based on ontology and svm classifier,"Shein K.P.P., Nyunt T.T.S., Sentiment classification based on ontology and SVM classifier, 2010 Second International Conference On Communication Software And Networks, pp. 169-172, (2010)",Exclude,""
a practical approach to the automatic classification of security-relevant commits,"Sabetta A., Bezzi M., A practical approach to the automatic classification of security-relevant commits, ICSME, pp. 579-582, (2018)",Exclude,""
self-attention with relative position representations,"Shaw P., Uszkoreit J., Vaswani A., Self-Attention with Relative Position Representations, Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, 2, pp. 464-468, (2018)",Exclude,""
improving automatic source code summarization via deep reinforcement learning,"Wan Y., Zhao Z., Yang M., Xu G., Ying H., Wu J., Yu P.S., Improving automatic source code summarization via deep reinforcement learning, Ase, pp. 397-407, (2018)",Include,Include
adversarial learning for multi-task sequence labeling with attention mechanism,"Wang Y., Li Y., Zhu Z., Tong H., Huang Y., Adversarial learning for multi-task sequence labeling with attention mechanism, IEEE/ACM Trans. Audio Speech Lang. Process., 28, pp. 2476-2488, (2020)",Exclude,""
improving software diagnosability via log enhancement,"Yuan D., Zheng J., Park S., Zhou Y., Savage S., Improving software diagnosability via log enhancement, ACM Transactions on Computer Systems (TOCS) 2012, pp. 1-28, (2012)",Exclude,""
flakeflagger: predicting flakiness without rerunning tests,"Alshammari A., Morris C., Hilton M., Bell J., FlakeFlagger: Predicting flakiness without rerunning tests, 2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE, pp. 1572-1584, (2021)",Include,Exclude
chapter four - anti-pattern detection: methods,"Palomba F., Lucia A.D., Bavota G., Oliveto R., Chapter four - anti-pattern detection: Methods, challenges, and open issues, Advances in Computers, Advances in Computers, 95, pp. 201-238, (2014)",Exclude,""
hierarchical attention networks for document classification,"Yang Z., Yang D., Et al., Hierarchical attention networks for document classification, NAACL HLT, the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, San Diego California, USA, June, 12-17, pp. 1480-1489, (2016)",Exclude,""
to camelcase or under_score,"Binkley D., Davis M., Lawrie D., Morrell C., To camelcase or under_score, Proceedings of the 17th International Conference on Program Comprehension, pp. 158-167, (2009)",Exclude,""
multi-type source code defect detection based on textcnn,"Wang X., Guan Z., Xin W., Et al., Multi-type source code defect detection based on TextCNN, Proceedings of the FCS, Singapore, Singapore, pp. 95-103, (2020)",Exclude,""
the dissimilarity representation for pattern recognition: foundations and applications (machine perception and artificial intelligence),"PEKALSKA E., DUIN R., The Dissimilarity Representation for Pattern Recognition: Foundations And Applications (Machine Perception and Artificial Intelligence), (2005)",Exclude,""
pattern recognition and machine learning,"Bishop C.M., Pattern Recognition and Machine Learning, (2006)",Exclude,""
differential geometric treewidth estimation in adiabatic quantum computation,"Wang C., Jonckheere E., Brun T., Differential geometric treewidth estimation in adiabatic quantum computation, Quant. Inf. Process, 15, pp. 3951-3966, (2016)",Exclude,""
optuna: a next-generation hyperparameter optimization framework,"Akiba T., Sano S., Yanase T., Ohta T., Koyama M., Optuna: A next-generation hyperparameter optimization framework, Proceedings of the 25th Acm Sigkdd International Conference on Knowledge Discovery & Data Mining, pp. 2623-2631, (2019)",Exclude,""
visualizing data using t-sne,"Van Der Maaten L., Hinton G., Visualizing data using t-SNE, Journal of machine learning research., 9, 11, pp. 2579-2605, (2008)",Exclude,""
tfix: learning to fix coding errors with a text-to-text transformer,"Berabi B., He J., Raychev V., Vechev M., TFix: Learning to fix coding errors with a text-to-text transformer, International Conference on Machine Learning. PMLR, pp. 780-791, (2021)",Exclude,""
improving code summarization with block-wise abstract syntax tree splitting,"Lin C., Ouyang Z., Zhuang J., Chen J., Li H., Wu R., Improving code summarization with block-wise abstract syntax tree splitting, 2021 IEEE/ACM 29th International Conference on Program Comprehension, pp. 184-195, (2021)",Include,Include
fast and memory-efficient neural code completion,"Svyatkovskiy A., Lee S., Hadjitofi A., Riechert M., Franco J., Allamanis M., Fast and memory-efficient neural code completion, (2020)",Include,Include
historical analysis of exploit availability timelines,"Householder A.D., Chrabaszcz J., Novelly T., Warren D., Spring J.M., Historical analysis of exploit availability timelines, 13th USENIX Workshop on Cyber Security Experimentation and Test (CSET 20), (2020)",Exclude,""
polly-performing polyhedral optimizations on a low-level intermediate representation,"Grosser T., Et al., Polly-performing polyhedral optimizations on a low-level intermediate representation, Parallel Processing Letters, (2012)",Exclude,""
is attention interpretable?,"Serrano S., Smith N.A., Is attention interpretable?, (2019)",Exclude,""
detection and mitigation of label-flipping attacks in federated learning systems with kpca and k-means,"Li D., Wong W. E., Wang W., Yao Y., Chau M., Detection and mitigation of label-flipping attacks in federated learning systems with kpca and k-means, 2021 8th International Conference on Dependable Systems and Their Applications (DSA). IEEE, pp. 551-559, (2021)",Exclude,""
on using machine learning to automatically classify software applications into domain categories,"Linares-Vasquez M., Mcmillan C., Poshyvanyk D., Grechanik M., On using machine learning to automatically classify software applications into domain categories, Empirical Software Engineering, 19, 3, pp. 582-618, (2014)",Include,Include
embedding api dependency graph for neural code generation,"Lyu C., Wang R., Zhang H., Zhang H., Hu S., Embedding API dependency graph for neural code generation, Empirical Softw. Eng., 26, 4, pp. 1-51, (2021)",Include,Include
augmenting java method comments generation with context information based on neural networks,"Zhou Y., Yan X., Yang W., Chen T., Huang Z., Augmenting java method comments generation with context information based on neural networks, J. Syst. Softw., 156, Oct., pp. 328-340, (2019)",Include,Include
assessing the applicability of fault-proneness models across object-oriented software projects,"Briand L.C., Melo W.L., Wust J., Assessing the applicability of fault-proneness models across object-oriented software projects, IEEE Trans. Softw. Eng., 28, 7, pp. 706-720, (2002)",Exclude,""
deep just-in-time defect prediction: how far are we?,"Zeng Z., Zhang Y., Zhang H., Zhang L., Deep just-in-time defect prediction: how far are we?, Proceedings of the 30th International Symposium on Software Testing and Analysis, pp. 427-438, (2021)",Exclude,""
a systematic literature review on fault prediction performance in software engineering,"Hall T., Beecham S., Bowes D., Gray D., Counsell S., A systematic literature review on fault prediction performance in software engineering, IEEE Trans. Softw. Eng., 38, 6, pp. 1276-1304, (2012)",Exclude,""
understanding and improving deep learning-based rolling bearing fault diagnosis with attention mechanism,"Li X., Zhang W., Ding Q., Understanding and improving deep learning-based rolling bearing fault diagnosis with attention mechanism, Signal processing, 161, pp. 136-154, (2019)",Include,Exclude
semi-supervised recursive autoencoders for predicting sentiment distributions,"Socher R., Pennington J., Huang E.H., Ng A.Y., Manning C.D., Semi-supervised recursive autoencoders for predicting sentiment distributions, Proceedings of the 2011 Conference on Empirical Methods in Natural Language Processing, EMNLP 2011, 27-31 July, 2011, pp. 151-161, (2011)",Exclude,""
a large-scale study of architectural evolution in open-source software systems,"Behnamghader P., Le D.M., Garcia J., Link D., Shahbazian A., Medvidovic N., A large-scale study of architectural evolution in open-source software systems, Empir. Soft. Eng., 22, 3, pp. 1146-1193, (2017)",Exclude,""
code generation as a dual task of code summarization,"Wei B., Li G., Xia X., Fu Z., Jin Z., Code generation as a dual task of code summarization, Advances in Neural Information Processing Systems, pp. 6563-6573, (2019)",Include,Include
