Title,Full Reference
automatically capturing source code context of nl-queries for software maintenance and reuse,"Hill E., Pollock L.L., Vijay-Shanker K., Automatically capturing source code context of NL-queries for software maintenance and reuse, Proceedings of the 31st International Conference on Software Engineering, ICSE 2009, pp. 232-242"
textrank: bringing order into text,"Rada M., Tarau P., Textrank: Bringing order into text, Proceedings of the 2004 Conference on Empirical Methods in Natural Language Processing, pp. 404-411, (2004)"
a survey of transformers,"Lin T., Wang Y., Liu X., Qiu X., A survey of transformers, (2021)"
detecting format string vulnerabilities with type qualifiers,"Shankar U., Talwar K., Foster J.S., Wagner D.A., Detecting format string vulnerabilities with type qualifiers, Proceedings of the 2001 USENIX Security Symposium (USENlX security'Oi)., pp. 201-220, (2001)"
timers: error-bounded svd restart on dynamic networks,"Zhang Z., Cui P., Pei J., Wang X., Zhu W., TIMERS: Error-Bounded SVD Restart On Dynamic Networks, Thirty-second AAAI Conference on Artificial Intelligence, (2018)"
atom: commit message generation based on abstract syntax tree and hybrid ranking,"Liu S., Gao C., Chen S., Lun Yiu N., Liu Y., Atom: Commit message generation based on abstract syntax tree and hybrid ranking, IEEE Transactions on Software Engineering, (2020)"
sentiment classification based on ontology and svm classifier,"Shein K.P.P., Nyunt T.T.S., Sentiment classification based on ontology and SVM classifier, 2010 Second International Conference On Communication Software And Networks, pp. 169-172, (2010)"
a practical approach to the automatic classification of security-relevant commits,"Sabetta A., Bezzi M., A practical approach to the automatic classification of security-relevant commits, ICSME, pp. 579-582, (2018)"
self-attention with relative position representations,"Shaw P., Uszkoreit J., Vaswani A., Self-Attention with Relative Position Representations, Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, 2, pp. 464-468, (2018)"
improving automatic source code summarization via deep reinforcement learning,"Wan Y., Zhao Z., Yang M., Xu G., Ying H., Wu J., Yu P.S., Improving automatic source code summarization via deep reinforcement learning, Ase, pp. 397-407, (2018)"
adversarial learning for multi-task sequence labeling with attention mechanism,"Wang Y., Li Y., Zhu Z., Tong H., Huang Y., Adversarial learning for multi-task sequence labeling with attention mechanism, IEEE/ACM Trans. Audio Speech Lang. Process., 28, pp. 2476-2488, (2020)"
improving software diagnosability via log enhancement,"Yuan D., Zheng J., Park S., Zhou Y., Savage S., Improving software diagnosability via log enhancement, ACM Transactions on Computer Systems (TOCS) 2012, pp. 1-28, (2012)"
flakeflagger: predicting flakiness without rerunning tests,"Alshammari A., Morris C., Hilton M., Bell J., FlakeFlagger: Predicting flakiness without rerunning tests, 2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE, pp. 1572-1584, (2021)"
chapter four - anti-pattern detection: methods,"Palomba F., Lucia A.D., Bavota G., Oliveto R., Chapter four - anti-pattern detection: Methods, challenges, and open issues, Advances in Computers, Advances in Computers, 95, pp. 201-238, (2014)"
hierarchical attention networks for document classification,"Yang Z., Yang D., Et al., Hierarchical attention networks for document classification, NAACL HLT, the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, San Diego California, USA, June, 12-17, pp. 1480-1489, (2016)"
to camelcase or under_score,"Binkley D., Davis M., Lawrie D., Morrell C., To camelcase or under_score, Proceedings of the 17th International Conference on Program Comprehension, pp. 158-167, (2009)"
multi-type source code defect detection based on textcnn,"Wang X., Guan Z., Xin W., Et al., Multi-type source code defect detection based on TextCNN, Proceedings of the FCS, Singapore, Singapore, pp. 95-103, (2020)"
the dissimilarity representation for pattern recognition: foundations and applications (machine perception and artificial intelligence),"PEKALSKA E., DUIN R., The Dissimilarity Representation for Pattern Recognition: Foundations And Applications (Machine Perception and Artificial Intelligence), (2005)"
pattern recognition and machine learning,"Bishop C.M., Pattern Recognition and Machine Learning, (2006)"
differential geometric treewidth estimation in adiabatic quantum computation,"Wang C., Jonckheere E., Brun T., Differential geometric treewidth estimation in adiabatic quantum computation, Quant. Inf. Process, 15, pp. 3951-3966, (2016)"
optuna: a next-generation hyperparameter optimization framework,"Akiba T., Sano S., Yanase T., Ohta T., Koyama M., Optuna: A next-generation hyperparameter optimization framework, Proceedings of the 25th Acm Sigkdd International Conference on Knowledge Discovery & Data Mining, pp. 2623-2631, (2019)"
visualizing data using t-sne,"Van Der Maaten L., Hinton G., Visualizing data using t-SNE, Journal of machine learning research., 9, 11, pp. 2579-2605, (2008)"
tfix: learning to fix coding errors with a text-to-text transformer,"Berabi B., He J., Raychev V., Vechev M., TFix: Learning to fix coding errors with a text-to-text transformer, International Conference on Machine Learning. PMLR, pp. 780-791, (2021)"
improving code summarization with block-wise abstract syntax tree splitting,"Lin C., Ouyang Z., Zhuang J., Chen J., Li H., Wu R., Improving code summarization with block-wise abstract syntax tree splitting, 2021 IEEE/ACM 29th International Conference on Program Comprehension, pp. 184-195, (2021)"
fast and memory-efficient neural code completion,"Svyatkovskiy A., Lee S., Hadjitofi A., Riechert M., Franco J., Allamanis M., Fast and memory-efficient neural code completion, (2020)"
historical analysis of exploit availability timelines,"Householder A.D., Chrabaszcz J., Novelly T., Warren D., Spring J.M., Historical analysis of exploit availability timelines, 13th USENIX Workshop on Cyber Security Experimentation and Test (CSET 20), (2020)"
polly-performing polyhedral optimizations on a low-level intermediate representation,"Grosser T., Et al., Polly-performing polyhedral optimizations on a low-level intermediate representation, Parallel Processing Letters, (2012)"
is attention interpretable?,"Serrano S., Smith N.A., Is attention interpretable?, (2019)"
detection and mitigation of label-flipping attacks in federated learning systems with kpca and k-means,"Li D., Wong W. E., Wang W., Yao Y., Chau M., Detection and mitigation of label-flipping attacks in federated learning systems with kpca and k-means, 2021 8th International Conference on Dependable Systems and Their Applications (DSA). IEEE, pp. 551-559, (2021)"
on using machine learning to automatically classify software applications into domain categories,"Linares-Vasquez M., Mcmillan C., Poshyvanyk D., Grechanik M., On using machine learning to automatically classify software applications into domain categories, Empirical Software Engineering, 19, 3, pp. 582-618, (2014)"
embedding api dependency graph for neural code generation,"Lyu C., Wang R., Zhang H., Zhang H., Hu S., Embedding API dependency graph for neural code generation, Empirical Softw. Eng., 26, 4, pp. 1-51, (2021)"
augmenting java method comments generation with context information based on neural networks,"Zhou Y., Yan X., Yang W., Chen T., Huang Z., Augmenting java method comments generation with context information based on neural networks, J. Syst. Softw., 156, Oct., pp. 328-340, (2019)"
assessing the applicability of fault-proneness models across object-oriented software projects,"Briand L.C., Melo W.L., Wust J., Assessing the applicability of fault-proneness models across object-oriented software projects, IEEE Trans. Softw. Eng., 28, 7, pp. 706-720, (2002)"
deep just-in-time defect prediction: how far are we?,"Zeng Z., Zhang Y., Zhang H., Zhang L., Deep just-in-time defect prediction: how far are we?, Proceedings of the 30th International Symposium on Software Testing and Analysis, pp. 427-438, (2021)"
a systematic literature review on fault prediction performance in software engineering,"Hall T., Beecham S., Bowes D., Gray D., Counsell S., A systematic literature review on fault prediction performance in software engineering, IEEE Trans. Softw. Eng., 38, 6, pp. 1276-1304, (2012)"
understanding and improving deep learning-based rolling bearing fault diagnosis with attention mechanism,"Li X., Zhang W., Ding Q., Understanding and improving deep learning-based rolling bearing fault diagnosis with attention mechanism, Signal processing, 161, pp. 136-154, (2019)"
semi-supervised recursive autoencoders for predicting sentiment distributions,"Socher R., Pennington J., Huang E.H., Ng A.Y., Manning C.D., Semi-supervised recursive autoencoders for predicting sentiment distributions, Proceedings of the 2011 Conference on Empirical Methods in Natural Language Processing, EMNLP 2011, 27-31 July, 2011, pp. 151-161, (2011)"
a large-scale study of architectural evolution in open-source software systems,"Behnamghader P., Le D.M., Garcia J., Link D., Shahbazian A., Medvidovic N., A large-scale study of architectural evolution in open-source software systems, Empir. Soft. Eng., 22, 3, pp. 1146-1193, (2017)"
code generation as a dual task of code summarization,"Wei B., Li G., Xia X., Fu Z., Jin Z., Code generation as a dual task of code summarization, Advances in Neural Information Processing Systems, pp. 6563-6573, (2019)"
a manually-curated dataset of fixes to vulnerabilities of open-source software,"Ponta S.E., Plate H., Sabetta A., Bezzi M., Dangremont C., A manually-curated dataset of fixes to vulnerabilities of open-source software, 2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR). IEEE, pp. 383-387, (2019)"
hierarchical probabilistic neural network language model,"Morin F., Bengio Y., Hierarchical probabilistic neural network language model, Aistats, 5, pp. 246-252, (2005)"
a.word representations via gaussian embedding,"Vilnis L.M., A.Word Representations via Gaussian Embedding"
reinforcement learning for automatic test case prioritization and selection in continuous integration,"Spieker H., Gotlieb A., Marijan D., Mossige M., Reinforcement learning for automatic test case prioritization and selection in continuous integration, ISSTA, pp. 12-22, (2017)"
refactoring for software design smells: managing technical debt by girish suryanarayana,"Tracz W., Refactoring for software design smells: Managing technical debt by girish suryanarayana, ganesh samarthyam, and tushar sharma, ACM SIGSOFT Softw. Eng. Notes, 40, 6, (2015)"
normalized (pointwise) mutual information in collocation extraction[j],"Bouma G., Normalized (pointwise) mutual information in collocation extraction[J], Proceedings of GSCL, 30, pp. 31-40, (2009)"
be careful about poisoned word embeddings: exploring the vulnerability of the embedding layers in nlp models. corr abs/2103.15543,"Yang W., Li L., Zhang Z., Ren X., Sun X., He B., Be careful about poisoned word embeddings: exploring the vulnerability of the embedding layers in NLP models. CoRR abs/2103.15543"
rich feature hierarchies for accurate object detection and semantic segmentation,"Girshick R., Donahue J., Darrell T., Malik J., Rich feature hierarchies for accurate object detection and semantic segmentation, Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition, pp. 580-587, (2014)"
is this class thread-safe? inferring documentation using graph-based learning,"Habib A., Pradel M., Is this class thread-safe? Inferring documentation using graph-based learning, ASE, pp. 41-52, (2018)"
domain adaptation via transfer component analysis,"Pan S.J., Tsang I.W., Kwok J.T., Yang Q., Domain adaptation via transfer component analysis, Ieee Trans. Neural Netw., 22, 2, pp. 199-210, (2011)"
